Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Fwd Header Length.1,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,true_label,predicted_label,sample_index
445,6024353,5,3,168,127,168,0,33.6,75.13188404,127,0,42.33333333,73.32348419,860621.8571,2267454.858,6002704,49,6024353,1506088.25,2997754.441,6002704,590,6005157,3002578.5,4243772.765,6003379,1778,0,168,104,0,168,32.77777778,65.84409195,4335.444444,0,0,0,1,0,0,0,0,168,29200,235,1,32,590.0,0.0,590,590,6002704.0,0.0,6002704,6002704,DDoS,BENIGN,12967
139,11008407,4,2,18,0,18,0,4.5,9.0,0,0,0.0,0.0,2201681.4,3034987.274,6002677,52,11000000,3669469.0,3216241.564,6002677,603,6003411,6003411.0,0.0,6003411,6003411,0,136,72,0,18,2.571428571,6.803360514,46.28571429,0,0,0,1,0,0,0,0,136,29200,227,1,32,603.0,0.0,603,603,6002677.0,0.0,6002677,6002677,DDoS,BENIGN,12968
0,109794133,17,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,6862133.313,4867575.851,11900000,1868902,110000000,6862133.313,4867575.851,11900000,1868902,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,2115545.571,295817.9054,2686269,1868902,11600000.0,290224.5272,11900000,11000000,DDoS,BENIGN,12969
139,6991,5,3,168,127,168,0,33.6,75.13188404,127,0,42.33333333,73.32348419,998.7142857,1880.266977,5211,4,6991,1747.75,2765.055319,5858,4,6121,3060.5,3041.266266,5211,910,0,168,104,0,168,32.77777778,65.84409195,4335.444444,0,0,0,1,0,0,0,0,168,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,13041
445,6028032,5,3,168,127,168,0,33.6,75.13188404,127,0,42.33333333,73.32348419,861147.4286,2269014.517,6006768,84,6028032,1507008.0,2999849.819,6006768,559,6009366,3004683.0,4246468.963,6007390,1976,0,168,104,0,168,32.77777778,65.84409195,4335.444444,0,0,0,1,0,0,0,0,168,29200,235,1,32,559.0,0.0,559,559,6006768.0,0.0,6006768,6006768,DDoS,BENIGN,14050
139,11011433,4,2,18,0,18,0,4.5,9.0,0,0,0.0,0.0,2202286.6,3036057.414,6006774,52,11000000,3670477.667,3217531.043,6006774,571,6007425,6007425.0,0.0,6007425,6007425,0,136,72,0,18,2.571428571,6.803360514,46.28571429,0,0,0,1,0,0,0,0,136,29200,227,1,32,571.0,0.0,571,571,6006774.0,0.0,6006774,6006774,DDoS,BENIGN,14051
139,6604,5,3,168,127,168,0,33.6,75.13188404,127,0,42.33333333,73.32348419,943.4285714,1751.258296,4865,3,6604,1651.0,2612.575358,5532,3,5714,2857.0,2839.740833,4865,849,0,168,104,0,168,32.77777778,65.84409195,4335.444444,0,0,0,1,0,0,0,0,168,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,14104
445,6026716,5,3,168,127,168,0,33.6,75.13188404,127,0,42.33333333,73.32348419,860959.4286,2268115.86,6004539,59,6026716,1506679.0,2998584.782,6004539,564,6006834,3003417.0,4245116.975,6005168,1666,0,168,104,0,168,32.77777778,65.84409195,4335.444444,0,0,0,1,0,0,0,0,168,29200,235,1,32,564.0,0.0,564,564,6004539.0,0.0,6004539,6004539,DDoS,BENIGN,15261
139,11009038,4,2,18,0,18,0,4.5,9.0,0,0,0.0,0.0,2201807.6,3035333.177,6004539,50,11000000,3669679.333,3216692.803,6004539,563,6005161,6005161.0,0.0,6005161,6005161,0,136,72,0,18,2.571428571,6.803360514,46.28571429,0,0,0,1,0,0,0,0,136,29200,227,1,32,563.0,0.0,563,563,6004539.0,0.0,6004539,6004539,DDoS,BENIGN,15262
139,6407,5,3,168,127,168,0,33.6,75.13188404,127,0,42.33333333,73.32348419,915.2857143,1664.029318,4636,3,6407,1601.75,2486.771317,5292,3,5510,2755.0,2660.135711,4636,874,0,168,104,0,168,32.77777778,65.84409195,4335.444444,0,0,0,1,0,0,0,0,168,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,BENIGN,15683
