feature,mean_abs_shap,shap_rank,gain_share,gain_rank,rank_diff
Fwd Packet Length Max,2.7470827,1.0,0.2110698997670701,3,2
Init_Win_bytes_forward,1.978343,2.0,0.2488940387077756,1,1
Total Length of Fwd Packets,1.654968,3.0,0.13375437335151788,4,1
Destination Port,1.4340475,4.0,0.09444081183428954,5,1
Fwd Packet Length Mean,1.0281078,5.0,0.2153848426557352,2,3
Bwd Packet Length Std,0.56126475,6.0,0.0004550898548475408,28,22
Bwd Header Length,0.31339154,7.0,0.000999781023019992,19,12
Init_Win_bytes_backward,0.30366576,8.0,0.0031380230974276213,12,4
Fwd Header Length,0.27463102,9.0,0.003535970971842344,11,2
act_data_pkt_fwd,0.20522141,10.0,0.02757220170654944,6,4
Flow IAT Std,0.16384162,11.0,0.0013201701534633595,18,7
Flow Duration,0.12309629,12.0,0.00022503503172085582,35,23
Fwd IAT Max,0.10676118,13.0,0.0007182393687565715,22,9
Total Backward Packets,0.096363544,14.0,0.0006332297245861703,23,9
Packet Length Mean,0.068850584,15.0,0.012829481134584247,8,7
Bwd IAT Total,0.06505394,16.0,0.0001440317071821397,37,21
Flow IAT Max,0.063243166,17.0,0.00020759115186786713,36,19
Flow IAT Min,0.053411763,18.0,0.0002696198643835959,33,15
Bwd Packet Length Mean,0.05145916,19.0,0.0027614758510818324,13,6
Fwd IAT Mean,0.051235083,20.0,0.0005081951851745447,27,7
URG Flag Count,0.048711658,21.0,0.0007249111690270172,21,0
Fwd Header Length.1,0.048283566,22.0,0.002019808277881455,15,7
Flow IAT Mean,0.044976927,23.0,0.0003635508566572738,29,6
Bwd IAT Mean,0.044102803,24.0,0.0007324952038854798,20,4
Down/Up Ratio,0.040577214,25.0,1.5260067823268404e-05,45,20
Fwd IAT Min,0.031644307,26.0,0.0006004264655130183,25,1
min_seg_size_forward,0.024315279,27.0,0.0043171607951687195,9,18
Fwd Packet Length Std,0.024276907,28.0,0.019660169334028855,7,21
Bwd Packet Length Min,0.02285315,29.0,0.00034822256127622057,30,1
Fwd IAT Total,0.021961099,30.0,0.0003296582619564057,31,1
Bwd IAT Max,0.0,99.0,6.872951733793741e-05,41,58
Bwd IAT Std,0.0,99.0,5.480534737502531e-05,43,56
Idle Mean,0.0,99.0,5.926437909100538e-05,42,57
Idle Max,0.0,99.0,5.1857893524405644e-05,44,55
Fwd Packet Length Min,0.0,99.0,9.03799009653238e-05,40,59
Fwd IAT Std,0.0,99.0,0.0005683288382155337,26,73
Active Mean,0.0,99.0,0.00012184489002013601,38,61
Bwd IAT Min,0.0,99.0,0.00023358045069868619,34,65
Active Min,0.0,99.0,1.1788097730322319e-05,46,53
Bwd Packet Length Max,0.0,99.0,0.0006025257622340677,24,75
Packet Length Std,0.0,99.0,0.00026996761765875826,32,67
Min Packet Length,0.0,99.0,0.0015613865308003896,17,82
Idle Min,0.0,99.0,9.926963787400382e-05,39,60
Max Packet Length,0.0,99.0,0.0038197055811612338,10,89
Total Fwd Packets,0.0,99.0,0.002706785169623718,14,85
Total Length of Bwd Packets,0.0,99.0,0.0017060152495952572,16,83
