,count,mean,std,min,25%,50%,75%,max,variance
Destination Port,97684.0,20403.92330371402,25828.550992898818,0.0,53.0,443.0,51974.25,65532.0,667114046.3927745
Flow Duration,97684.0,15311590.425013307,32163061.496304277,1.0,314.0,172234.5,7522234.75,119999937.0,1034462524815050.6
Total Fwd Packets,97684.0,5.40350517996806,23.33424474181452,1.0,1.0,2.0,5.0,1932.0,544.4869776708985
Total Backward Packets,97684.0,6.3003050653126405,32.86280512179774,0.0,1.0,2.0,6.0,2942.0,1079.9639604732558
Total Length of Fwd Packets,97684.0,2129.2494574341754,4680.301102956122,0.0,12.0,70.0,946.0,183012.0,21905218.41433229
Total Length of Bwd Packets,97684.0,4110.433366774498,59224.54876481895,0.0,26.0,62.0,204.0,5172346.0,3507547176.3964176
Fwd Packet Length Max,97684.0,1225.012724704148,2683.251005903251,0.0,6.0,41.0,507.0,11680.0,7199835.960680808
Fwd Packet Length Min,97684.0,61.56985790917653,244.19984753552583,0.0,0.0,6.0,35.0,1472.0,59633.56553637406
Fwd Packet Length Mean,97684.0,371.20744408426486,716.9545731018894,0.0,6.0,38.0,88.0,3867.0,514023.85989171255
Fwd Packet Length Std,97684.0,489.144120450688,1156.231440548444,0.0,0.0,0.0,107.0006313,6692.644993,1336871.1441127297
Bwd Packet Length Max,97684.0,287.27292084681216,729.6477803270575,0.0,6.0,20.0,121.0,11680.0,532385.883336202
Bwd Packet Length Min,97684.0,37.860232996191804,63.67020234808773,0.0,0.0,6.0,69.0,1460.0,4053.8946670464356
Bwd Packet Length Mean,97684.0,116.93645163843502,257.72918442249863,0.0,6.0,13.0,110.0,2647.54271,66424.33250308632
Bwd Packet Length Std,97684.0,87.19136742807966,239.92041210420774,0.0,0.0,0.0,5.30199124,2833.059359,57561.80414425287
Flow Bytes/s,97684.0,1272769.5461284437,25595612.439964436,0.0,65.504805715,2220.168433,115384.6154,2070000000.0,655135376176862.1
Flow Packets/s,97684.0,32720.55309044841,172625.58972021137,0.018609789,0.98792744425,27.47529549,10025.06266,3000000.0,29799594226.250744
Flow IAT Mean,97684.0,1186722.0495923252,2828588.0114294305,0.5,175.0,59685.0,1204331.4,107000000.0,8000910138402.3
Flow IAT Std,97684.0,3118596.7286426397,6809120.817029582,0.0,56.95904962,35461.142215,2710845.93925,69200000.0,46364126300905.61
Flow IAT Max,97684.0,10417068.286730682,23533847.93978289,1.0,282.0,128981.0,6934118.0,120000000.0,553841998852823.4
Flow IAT Min,97684.0,61780.117132795545,1131405.5957381902,-3.0,1.0,3.0,48.0,107000000.0,1280078622067.689
Fwd IAT Total,97684.0,13933751.751279637,32428701.398561835,0.0,0.0,4.0,982692.25,120000000.0,1051620674397086.2
Fwd IAT Mean,97684.0,2391789.6212974023,7559064.678787762,0.0,0.0,4.0,171056.575,120000000.0,57139458818096.74
Fwd IAT Std,97684.0,3966261.8542186227,10864891.732304838,0.0,0.0,0.0,167879.05125000002,76700000.0,118045872354706.02
Fwd IAT Max,97684.0,9679585.509909505,25246778.93834998,0.0,0.0,4.0,691873.75,120000000.0,637399846761912.2
Fwd IAT Min,97684.0,475755.4352606363,5753937.490285089,0.0,0.0,3.0,48.0,120000000.0,33107796642108.27
Bwd IAT Total,97684.0,14589035.343474878,31669942.580454554,0.0,0.0,49.0,6932805.0,120000000.0,1002985263049288.4
Bwd IAT Mean,97684.0,2043398.1034316341,6816439.3344723405,0.0,0.0,49.0,1374610.0375,120000000.0,46463845200541.72
Bwd IAT Std,97684.0,3434748.3455317025,7956845.691458978,0.0,0.0,0.0,2728516.12825,76700000.0,63311393357689.3
Bwd IAT Max,97684.0,9979368.335838009,23512052.828908876,0.0,0.0,49.0,6569650.75,120000000.0,552816628229401.8
Bwd IAT Min,97684.0,521672.33424102206,6097451.794200773,0.0,0.0,3.0,5.0,120000000.0,37178918382602.234
Fwd PSH Flags,97684.0,0.07667581180131854,0.26607772632242216,0.0,0.0,0.0,0.0,1.0,0.0707973564449098
Bwd PSH Flags,97684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,97684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,97684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,97684.0,130.4545677900168,569.0340118450619,0.0,20.0,64.0,124.0,39396.0,323799.70663648593
Bwd Header Length,97684.0,151.46595143524016,772.998899737422,0.0,32.0,64.0,120.0,58852.0,597527.298995265
Fwd Packets/s,97684.0,29019.240412533774,166666.2818507311,0.012290657,0.23322899800000002,14.46021814,6369.426752,3000000.0,27777649505.94733
Bwd Packets/s,97684.0,3701.312677949387,29786.528907338947,0.0,0.25522196725,3.204262997,79.245843725,2000000.0,887237304.3477386
Min Packet Length,97684.0,15.790426272470414,21.41560721078742,0.0,0.0,6.0,33.0,337.0,458.6282322067301
Max Packet Length,97684.0,1417.8492588346096,2690.43674538051,0.0,6.0,102.0,1410.0,11680.0,7238449.880893669
Packet Length Mean,97684.0,224.37352352342484,354.1025681803243,0.0,6.0,61.0,259.5,1936.833333,125388.62879190121
Packet Length Std,97684.0,440.9041547621508,820.5268461179962,0.0,0.0,32.20470241,506.43316565,4731.522394,673264.3052003459
Packet Length Variance,97684.0,867618.959063521,2335762.0758755896,0.0,0.0,1037.142857,256474.551875,22400000.0,5455784475098.644
FIN Flag Count,97684.0,0.005845378977109864,0.0762316864054832,0.0,0.0,0.0,0.0,1.0,0.0058112700122239305
SYN Flag Count,97684.0,0.07667581180131854,0.26607772632242216,0.0,0.0,0.0,0.0,1.0,0.0707973564449098
RST Flag Count,97684.0,0.00027640145776176243,0.0166231130896009,0.0,0.0,0.0,0.0,1.0,0.0002763278887896608
PSH Flag Count,97684.0,0.21587977560296467,0.4114333858561412,0.0,0.0,0.0,0.0,1.0,0.16927743099704837
ACK Flag Count,97684.0,0.4488247819499611,0.4973767480957122,0.0,0.0,0.0,1.0,1.0,0.24738362954626555
URG Flag Count,97684.0,0.32523238196634047,0.46846400747949846,0.0,0.0,0.0,1.0,1.0,0.2194585263037516
CWE Flag Count,97684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,97684.0,0.00027640145776176243,0.0166231130896009,0.0,0.0,0.0,0.0,1.0,0.0002763278887896608
Down/Up Ratio,97684.0,1.5063162851644076,1.877592466000801,0.0,0.0,1.0,1.0,7.0,3.5253534683829693
Average Packet Size,97684.0,249.67378208685165,388.1746816594457,0.0,9.0,77.5,272.3846154,2528.0,150679.583481412
Avg Fwd Segment Size,97684.0,371.20744408426486,716.9545731018894,0.0,6.0,38.0,88.0,3867.0,514023.85989171255
Avg Bwd Segment Size,97684.0,116.93645163845547,257.72918442260095,0.0,6.0,13.0,110.0,2647.54271,66424.33250313904
Fwd Header Length.1,97684.0,130.4545677900168,569.0340118450619,0.0,20.0,64.0,124.0,39396.0,323799.70663648593
Fwd Avg Bytes/Bulk,97684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,97684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,97684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,97684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,97684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,97684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Packets,97684.0,5.40350517996806,23.33424474181452,1.0,1.0,2.0,5.0,1932.0,544.4869776708985
Subflow Fwd Bytes,97684.0,2129.2494574341754,4680.301102956122,0.0,12.0,70.0,946.0,183012.0,21905218.41433229
Subflow Bwd Packets,97684.0,6.3003050653126405,32.86280512179774,0.0,1.0,2.0,6.0,2942.0,1079.9639604732558
Subflow Bwd Bytes,97684.0,4110.433366774498,59224.54876481895,0.0,26.0,62.0,204.0,5172346.0,3507547176.3964176
Init_Win_bytes_forward,97684.0,4716.147332214078,11284.65098531545,-1.0,-1.0,229.0,2051.0,65535.0,127343347.86038096
Init_Win_bytes_backward,97684.0,1197.424583350395,6513.602551960138,-1.0,-1.0,0.0,256.0,65535.0,42427018.20490162
act_data_pkt_fwd,97684.0,3.3410793988780148,18.567148457382444,0.0,0.0,1.0,3.0,1931.0,344.73900183847934
min_seg_size_forward,97684.0,23.425125916219645,5.783807260783585,0.0,20.0,20.0,32.0,52.0,33.452426429892924
Active Mean,97684.0,163963.31017366442,815056.8717129467,0.0,0.0,0.0,22090.75,100000000.0,664317704126.4948
Active Std,97684.0,29890.939615750136,318862.6816275995,0.0,0.0,0.0,0.0,39500000.0,101673409734.74388
Active Max,97684.0,217713.69277466115,1032680.5259694438,0.0,0.0,0.0,22266.0,100000000.0,1066429068716.5271
Active Min,97684.0,147310.43624339707,783263.2861644253,0.0,0.0,0.0,20547.0,100000000.0,613501375453.0944
Idle Mean,97684.0,8145950.84623055,19475294.724234387,0.0,0.0,0.0,6582928.25,120000000.0,379287104595791.75
Idle Std,97684.0,2473519.267810284,10627370.375481308,0.0,0.0,0.0,0.0,65300000.0,112941001097657.7
Idle Max,97684.0,9899490.344672618,23588510.61888618,0.0,0.0,0.0,6594808.75,120000000.0,556417833217306.1
Idle Min,97684.0,6367404.122374186,17761099.392116897,0.0,0.0,0.0,6002718.25,120000000.0,315456651616655.2
