,count,mean,std,min,25%,50%,75%,max,variance
Destination Port,128025.0,81.22740089826206,267.41195126616753,80.0,80.0,80.0,80.0,64873.0,71509.15167997916
Flow Duration,128025.0,16955856.65227885,31012784.771088272,1.0,613298.0,1878984.0,9387683.0,103941558.0,961792819257844.6
Total Fwd Packets,128025.0,4.472493653583284,1.8977720273410974,1.0,3.0,4.0,5.0,11.0,3.601538667758339
Total Backward Packets,128025.0,3.2558562780706892,2.5542956855815877,0.0,0.0,4.0,5.0,8.0,6.524426449380713
Total Length of Fwd Packets,128025.0,31.909002148017965,11.956732136248384,6.0,26.0,26.0,30.0,74.0,142.96344337799482
Total Length of Bwd Packets,128025.0,7373.739402460457,5584.63994463778,0.0,0.0,11601.0,11607.0,11613.0,31188203.311243862
Fwd Packet Length Max,128025.0,14.897777777777778,6.73786272604246,6.0,6.0,20.0,20.0,20.0,45.39879411499233
Fwd Packet Length Min,128025.0,2.18497949619215,2.8871797119586464,0.0,0.0,0.0,6.0,6.0,8.335806689145612
Fwd Packet Length Mean,128025.0,7.401283432291864,1.2373256536434967,3.0,6.0,7.0,8.666666667,10.0,1.5309747731643064
Fwd Packet Length Std,128025.0,5.722075425183636,4.672038501633509,0.0,0.0,5.656854249,10.26320288,14.14213562,21.827943760745878
Bwd Packet Length Max,128025.0,4604.423182972076,3966.3416584893876,0.0,0.0,5755.0,7300.0,11595.0,15731866.151868345
Bwd Packet Length Min,128025.0,0.5812770943175161,28.00540785560655,0.0,0.0,0.0,0.0,1460.0,784.302869158869
Bwd Packet Length Mean,128025.0,1481.0388411530641,1164.8749190803674,0.0,0.0,1934.5,2321.4,5800.5,1356933.5771024923
Bwd Packet Length Std,128025.0,2102.622053248541,1869.3817614569284,0.0,0.0,2189.772933,3346.363967,8194.660487,3494588.1700678086
Flow Bytes/s,128025.0,61117.88418342388,1471895.2652643172,0.221218089,7.046448722,160.1013014,16993.32076,347000000.0,2166475671907.5144
Flow Packets/s,128025.0,172.78859462402585,9961.50950347371,0.036869681,0.495355694,2.589675275,13.02548529,2000000.0,99231671.58779703
Flow IAT Mean,128025.0,1881553.6747689256,2560317.9020430394,0.666666667,87996.375,489282.0,2641610.0,44200000.0,6555227759522.071
Flow IAT Std,128025.0,5111941.355226542,8084527.54946963,0.0,229881.1437,932117.0312,4910277.249,57500000.0,65359585698133.42
Flow IAT Max,128025.0,15838063.607225152,28667795.113500778,1.0,603713.0,1876546.0,9219688.0,101000000.0,821842476669659.1
Flow IAT Min,128025.0,2442.433860574107,199346.0318520702,-12.0,2.0,4.0,22.0,44200000.0,39738840415.166595
Fwd IAT Total,128025.0,16516957.450130833,30924564.79282495,0.0,3499.0,1763991.0,9280905.0,103000000.0,956328707625628.4
Fwd IAT Mean,128025.0,2654874.5658394485,4298230.923154446,0.0,1792.5,490485.25,2641610.0,44200000.0,18474789068761.12
Fwd IAT Std,128025.0,6134362.56390596,10632006.41264679,0.0,1791.101477,932383.2846,4910277.249,57500000.0,113039560358562.44
Fwd IAT Max,128025.0,15527173.989455184,28830701.334427737,0.0,3256.0,1762746.0,9219688.0,101000000.0,831209339434973.2
Fwd IAT Min,128025.0,2647.979589923843,199360.53188376798,-12.0,2.0,8.0,180.0,44200000.0,39744621672.97887
Bwd IAT Total,128025.0,443922.03313415346,588469.4459414689,0.0,0.0,74715.0,795732.0,6171904.0,346296288806.65936
Bwd IAT Mean,128025.0,111821.40417143727,153093.29640397028,0.0,0.0,19067.0,196943.6,1542459.75,23437557403.8339
Bwd IAT Std,128025.0,218696.54738710087,294711.9162958209,0.0,0.0,33256.78594,389523.8773,3078935.554,86855113606.75496
Bwd IAT Max,128025.0,439515.2165826987,586872.0540149576,0.0,0.0,67499.0,787937.0,6161828.0,344418807783.7353
Bwd IAT Min,128025.0,78.57470025385666,696.1015314079406,0.0,0.0,4.0,48.0,38006.0,484557.34202848
Fwd PSH Flags,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd PSH Flags,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,128025.0,97.09734817418473,38.290180737764175,20.0,72.0,80.0,100.0,232.0,1466.137940930647
Bwd Header Length,128025.0,72.72832649873072,56.67217449088742,0.0,0.0,92.0,112.0,172.0,3211.735361525591
Fwd Packets/s,128025.0,102.13909482168982,6338.489939677947,0.036869681,0.495307997,1.672904743,5.070119756,1500000.0,40176454.71539855
Bwd Packets/s,128025.0,70.64949980028246,3914.637834303587,0.0,0.0,0.072950106,7.47648645,1000000.0,15324389.373761078
Min Packet Length,128025.0,2.18497949619215,2.8871797119586464,0.0,0.0,0.0,6.0,6.0,8.335806689145612
Max Packet Length,128025.0,4606.606053505175,3963.8078477356157,6.0,6.0,5755.0,7300.0,11595.0,15711772.653770454
Packet Length Mean,128025.0,736.8931366407452,584.5481033711061,2.0,6.0,833.5,1291.888889,1936.833333,341696.4851547573
Packet Length Std,128025.0,1577.7939582714287,1329.8969307043978,0.0,0.0,1903.962654,2650.585648,4731.522394,1768625.8462969777
Packet Length Variance,128025.0,4257403.718980984,4553451.080631695,0.0,0.0,3625073.789,7025604.278,22400000.0,20733916743705.945
FIN Flag Count,128025.0,0.00021089630931458699,0.014520794710773766,0.0,0.0,0.0,0.0,1.0,0.0002108534790324354
SYN Flag Count,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RST Flag Count,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSH Flag Count,128025.0,0.454481546572935,0.4979257042697738,0.0,0.0,0.0,1.0,1.0,0.24793000697255024
ACK Flag Count,128025.0,0.5468150751806288,0.4978054684067102,0.0,0.0,1.0,1.0,1.0,0.24781028437562416
URG Flag Count,128025.0,2.3432923257176333e-05,0.004840718664246943,0.0,0.0,0.0,0.0,1.0,2.3432557186388708e-05
CWE Flag Count,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE Flag Count,128025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down/Up Ratio,128025.0,0.6241359109548916,0.7634289027688221,0.0,0.0,0.0,1.0,6.0,0.5828236895828077
Average Packet Size,128025.0,822.6193655332961,658.8459376122776,3.0,7.5,897.6153846,1453.375,2324.2,434077.9695082012
Avg Fwd Segment Size,128025.0,7.401283432291864,1.2373256536434967,3.0,6.0,7.0,8.666666667,10.0,1.5309747731643064
