Rank,Feature,BENIGN_Median,DDoS_Median,Absolute_Difference
1,Packet Length Variance,1037.142857,3625073.789,3624036.6461429996
2,Fwd IAT Total,4.0,1763991.0,1763987.0
3,Fwd IAT Max,4.0,1762746.0,1762742.0
4,Flow IAT Max,128981.0,1876546.0,1747565.0
5,Flow Duration,172234.5,1878984.0,1706749.5
6,Fwd IAT Std,0.0,932383.2846,932383.2846
7,Flow IAT Std,35461.142215,932117.0312,896655.888985
8,Fwd IAT Mean,4.0,490485.25,490481.25
9,Flow IAT Mean,59685.0,489282.0,429597.0
10,Bwd IAT Total,49.0,74715.0,74666.0
11,Bwd IAT Max,49.0,67499.0,67450.0
12,Bwd IAT Std,0.0,33256.78594,33256.78594
13,Bwd IAT Mean,49.0,19067.0,19018.0
14,Total Length of Bwd Packets,62.0,11601.0,11539.0
15,Subflow Bwd Bytes,62.0,11601.0,11539.0
16,Bwd Packet Length Max,20.0,5755.0,5735.0
17,Max Packet Length,102.0,5755.0,5653.0
18,Bwd Packet Length Std,0.0,2189.772933,2189.772933
19,Flow Bytes/s,2220.168433,160.1013014,2060.0671316
20,Bwd Packet Length Mean,13.0,1934.5,1921.5
21,Avg Bwd Segment Size,13.0,1934.5,1921.5
22,Packet Length Std,32.20470241,1903.962654,1871.75795159
23,Average Packet Size,77.5,897.6153846,820.1153846
24,Packet Length Mean,61.0,833.5,772.5
25,Destination Port,443.0,80.0,363.0
26,Init_Win_bytes_backward,0.0,229.0,229.0
27,Total Length of Fwd Packets,70.0,26.0,44.0
28,Subflow Fwd Bytes,70.0,26.0,44.0
29,Fwd Packet Length Mean,38.0,7.0,31.0
30,Avg Fwd Segment Size,38.0,7.0,31.0
31,Bwd Header Length,64.0,92.0,28.0
32,Init_Win_bytes_forward,229.0,256.0,27.0
33,Flow Packets/s,27.47529549,2.589675275,24.885620215
34,Fwd Packet Length Max,41.0,20.0,21.0
35,Fwd Header Length,64.0,80.0,16.0
36,Fwd Header Length.1,64.0,80.0,16.0
37,Fwd Packets/s,14.46021814,1.672904743,12.787313397
38,Fwd Packet Length Min,6.0,0.0,6.0
39,Bwd Packet Length Min,6.0,0.0,6.0
40,Min Packet Length,6.0,0.0,6.0
41,Fwd Packet Length Std,0.0,5.656854249,5.656854249
42,Fwd IAT Min,3.0,8.0,5.0
43,Bwd Packets/s,3.204262997,0.072950106,3.131312891
44,Total Fwd Packets,2.0,4.0,2.0
45,Total Backward Packets,2.0,4.0,2.0
46,Subflow Fwd Packets,2.0,4.0,2.0
47,Subflow Bwd Packets,2.0,4.0,2.0
48,act_data_pkt_fwd,1.0,3.0,2.0
49,Flow IAT Min,3.0,4.0,1.0
50,Bwd IAT Min,3.0,4.0,1.0
51,ACK Flag Count,0.0,1.0,1.0
52,Down/Up Ratio,1.0,0.0,1.0
53,Fwd PSH Flags,0.0,0.0,0.0
54,Bwd PSH Flags,0.0,0.0,0.0
55,Fwd URG Flags,0.0,0.0,0.0
56,Bwd URG Flags,0.0,0.0,0.0
57,FIN Flag Count,0.0,0.0,0.0
58,SYN Flag Count,0.0,0.0,0.0
59,RST Flag Count,0.0,0.0,0.0
60,PSH Flag Count,0.0,0.0,0.0
61,URG Flag Count,0.0,0.0,0.0
62,CWE Flag Count,0.0,0.0,0.0
63,ECE Flag Count,0.0,0.0,0.0
64,Fwd Avg Bytes/Bulk,0.0,0.0,0.0
65,Fwd Avg Packets/Bulk,0.0,0.0,0.0
66,Fwd Avg Bulk Rate,0.0,0.0,0.0
67,Bwd Avg Bytes/Bulk,0.0,0.0,0.0
68,Bwd Avg Packets/Bulk,0.0,0.0,0.0
69,Bwd Avg Bulk Rate,0.0,0.0,0.0
70,min_seg_size_forward,20.0,20.0,0.0
71,Active Mean,0.0,0.0,0.0
72,Active Std,0.0,0.0,0.0
73,Active Max,0.0,0.0,0.0
74,Active Min,0.0,0.0,0.0
75,Idle Mean,0.0,0.0,0.0
76,Idle Std,0.0,0.0,0.0
77,Idle Max,0.0,0.0,0.0
78,Idle Min,0.0,0.0,0.0
